task,model,parameters,full_resolution,method,budget_1_percent,budget_3_percent,budget_5_percent,budget_10_percent,budget_20_percent
Eggplant in Basket,CronusVLA,0.5B,75.0,Uniform,45.8,50.0,66.7,70.8,70.8
Eggplant in Basket,CronusVLA,0.5B,75.0,Foveated,0.0 (-45.8),41.7 (-8.3),50.0 (-16.7),58.3 (-12.5),70.8 (0.0)
Eggplant in Basket,CronusVLA,0.5B,75.0,Sunflower,45.8 (0.0),62.5 (+12.5),66.7 (0.0),83.3 (+12.5),83.3 (+12.5)
Eggplant in Basket,CronusVLA,0.5B,75.0,SALISA,29.2 (-16.7),58.3 (+8.3),75.0 (+8.3),79.2 (+8.3),83.3 (+12.5)
Eggplant in Basket,CronusVLA,0.5B,75.0,CORTAct focus,50.0 (+4.2),66.7 (+16.7),83.3 (+16.7),83.3 (+12.5),87.5 (+16.7)
Eggplant in Basket,CronusVLA,0.5B,75.0,CORTAct context,50.0 (+4.2),62.5 (+12.5),83.3 (+16.7),75.0 (+4.2),70.8 (0.0)
Eggplant in Basket,CronusVLA,0.5B,75.0,CORTAct,54.2 (+8.3),66.7 (+16.7),87.5 (+20.8),79.2 (+8.3),87.5 (+16.7)
Eggplant in Basket,MiniVLA,1B,12.5,Uniform,0.0,4.2,4.2,8.3,8.3
Eggplant in Basket,MiniVLA,1B,12.5,Foveated,0.0 (0.0),0.0 (-4.2),0.0 (-4.2),0.0 (-8.3),12.5 (+4.2)
Eggplant in Basket,MiniVLA,1B,12.5,Sunflower,0.0 (0.0),4.2 (0.0),12.5 (+8.3),33.3 (+25.0),33.3 (+25.0)
Eggplant in Basket,MiniVLA,1B,12.5,SALISA,0.0 (0.0),0.0 (-4.2),0.0 (-4.2),12.5 (+4.2),16.7 (+8.3)
Eggplant in Basket,MiniVLA,1B,12.5,CORTAct focus,0.0 (0.0),29.2 (+25.0),12.5 (+8.3),33.3 (+25.0),25.0 (+16.7)
Eggplant in Basket,MiniVLA,1B,12.5,CORTAct context,0.0 (0.0),8.3 (+4.2),4.2 (0.0),16.7 (+8.3),20.8 (+12.5)
Eggplant in Basket,MiniVLA,1B,12.5,CORTAct,0.0 (0.0),37.5 (+33.3),12.5 (+8.3),33.3 (+25.0),37.5 (+29.2)
